id,name,country,country_code,latitude,longitude,status,status_class,reactor_type,reactor_model,construction_start_at,operational_from,operational_to,temporal_start,temporal_end,capacity_mwe,last_updated_at,source,iaea_id,dataset_region,geometry_note,map_year,period_start,period_end,decade_label,status_at_year,snapshot_rule
206,Enrico Fermi,Italy,IT,45.183333,8.283333,Shutdown,shutdown_or_decommissioned,PWR,WH 4LP,1961-07-01,1965-01-01,1990-07-01,1965-01-01,1990-07-01,247.0,2017-02-10T23:56:19+02:00,IAEA,326.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1970,1970-01-01,1979-12-31,1970s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
245,Garigliano,Italy,IT,41.258,13.835,Shutdown,shutdown_or_decommissioned,BWR,BWR-1,1959-11-01,1964-06-01,1982-03-01,1964-06-01,1982-03-01,150.0,2015-05-24T04:51:26+03:00,WNA/IAEA,325.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1970,1970-01-01,1979-12-31,1970s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
423,Latina,Italy,IT,41.427,12.808,Shutdown,shutdown_or_decommissioned,GCR,MAGNOX,1958-11-01,1964-01-01,1987-12-01,1964-01-01,1987-12-01,200.0,2015-05-24T04:51:26+03:00,WNA/IAEA,318.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1970,1970-01-01,1979-12-31,1970s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
206,Enrico Fermi,Italy,IT,45.183333,8.283333,Shutdown,shutdown_or_decommissioned,PWR,WH 4LP,1961-07-01,1965-01-01,1990-07-01,1965-01-01,1990-07-01,247.0,2017-02-10T23:56:19+02:00,IAEA,326.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1980,1980-01-01,1989-12-31,1980s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
245,Garigliano,Italy,IT,41.258,13.835,Shutdown,shutdown_or_decommissioned,BWR,BWR-1,1959-11-01,1964-06-01,1982-03-01,1964-06-01,1982-03-01,150.0,2015-05-24T04:51:26+03:00,WNA/IAEA,325.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1980,1980-01-01,1989-12-31,1980s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
423,Latina,Italy,IT,41.427,12.808,Shutdown,shutdown_or_decommissioned,GCR,MAGNOX,1958-11-01,1964-01-01,1987-12-01,1964-01-01,1987-12-01,200.0,2015-05-24T04:51:26+03:00,WNA/IAEA,318.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1980,1980-01-01,1989-12-31,1980s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
112,Caorso,Italy,IT,45.072,9.872,Shutdown,shutdown_or_decommissioned,BWR,BWR-4 (Mark 2),1970-01-01,1981-12-01,1990-07-01,1981-12-01,1990-07-01,840.0,2015-05-24T04:51:26+03:00,WNA/IAEA,327.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1990,1990-01-01,1999-12-31,1990s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
206,Enrico Fermi,Italy,IT,45.183333,8.283333,Shutdown,shutdown_or_decommissioned,PWR,WH 4LP,1961-07-01,1965-01-01,1990-07-01,1965-01-01,1990-07-01,247.0,2017-02-10T23:56:19+02:00,IAEA,326.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1990,1990-01-01,1999-12-31,1990s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
