plant_id,name,country,capacity_mw,energy_source,energy_group,technology,status,commissioned,shutdown,is_shutdown,temporal_start,temporal_end,temporal_end_source,temporal_basis,company,city,state,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,original_source,source_dataset,source_url,lon,lat
OPSD_EU_02144,BNA1168,DE,14.7,Waste,Waste,Steam turbine,,1985,,False,1985-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Müllheizkraftwerk Kassel GmbH,Kassel,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.52410538,51.2976283
OPSD_EU_02145,BNA1184,DE,45.1,Waste,Waste,Steam turbine,,1998,,False,1998-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",AVG Köln mbH,Köln,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.94358,51.0003
OPSD_EU_02146,BNA1186a,DE,13.5,Waste,Waste,Steam turbine,,1982,,False,1982-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EGK Entsorgungsgesellschaft Krefeld GmbH & Co.KG,Krefeld,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.63732,51.38038
OPSD_EU_02147,BNA1186b,DE,13.8,Waste,Waste,Steam turbine,,2002,,False,2002-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EGK Entsorgungsgesellschaft Krefeld GmbH & Co.KG,Krefeld,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.63732,51.38038
OPSD_EU_02148,BNA1186c,DE,1.5,Waste,Waste,Steam turbine,,1976,,False,1976-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EGK Entsorgungsgesellschaft Krefeld GmbH & Co.KG,Krefeld,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.63732,51.38038
OPSD_EU_02149,BNA1186d,DE,2.8,Waste,Waste,Steam turbine,,1997,,False,1997-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EGK Entsorgungsgesellschaft Krefeld GmbH & Co.KG,Krefeld,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.63732,51.38038
OPSD_EU_02150,BNA1186e,DE,1.5,Waste,Waste,Steam turbine,,1976,,False,1976-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EGK Entsorgungsgesellschaft Krefeld GmbH & Co.KG,Krefeld,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.63732,51.38038
OPSD_EU_02151,BNA1190,DE,15.7,Waste,Waste,Steam turbine,,2004,,False,2004-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Steag GmbH,Lauta,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,14.11215,51.45071
OPSD_EU_02152,BNA1197,DE,28.0,Waste,Waste,Steam turbine,,1967,,False,1967-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Technische Werke Ludwigshafen AG,Ludwigshafen,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,8.426219999999999,49.48505
OPSD_EU_02153,BNA1198,DE,23.0,Waste,Waste,Steam turbine,,2005,,False,2005-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",SUEZ Energie und Verwertung GmbH,Lützen OT Zorbau,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,12.01965,51.18158
