plant_id,name,country,capacity_mw,energy_source,energy_group,technology,status,commissioned,shutdown,is_shutdown,temporal_start,temporal_end,temporal_end_source,temporal_basis,company,city,state,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,original_source,source_dataset,source_url,lon,lat
OPSD_EU_01828,BNA0688,DE,75.0,Natural gas,Natural gas,Combined cycle,,1997,,False,1997-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Neubrandenburger Stadtwerke GmbH,Neubrandenburg,,,Fossil fuels,Natural gas,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,13.295142000000002,53.5745
OPSD_EU_01829,BNA0702,DE,25.4,Natural gas,Natural gas,Steam turbine,,1996,,False,1996-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Bayernoil Raffineriegesellschaft mbH,Neustadt,,,Fossil fuels,Natural gas,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.75617,48.78789
OPSD_EU_01830,BNA0734,DE,37.5,Natural gas,Natural gas,Gas turbine,,1989,,False,1989-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Lausitz Energie Kraftwerke AG,Nunsdorf,,,Fossil fuels,Natural gas,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,13.30195,52.23015
OPSD_EU_01831,BNA0738,DE,36.5,Natural gas,Natural gas,Gas turbine,,1987,,False,1987-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Lausitz Energie Kraftwerke AG,Nunsdorf,,,Fossil fuels,Natural gas,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,13.30195,52.23015
OPSD_EU_01832,BNA0739,DE,36.5,Natural gas,Natural gas,Gas turbine,,1987,,False,1987-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Lausitz Energie Kraftwerke AG,Nunsdorf,,,Fossil fuels,Natural gas,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,13.30195,52.23015
OPSD_EU_01833,BNA0740,DE,36.5,Natural gas,Natural gas,Gas turbine,,1987,,False,1987-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Lausitz Energie Kraftwerke AG,Nunsdorf,,,Fossil fuels,Natural gas,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,13.30195,52.23015
OPSD_EU_01834,BNA0741,DE,36.5,Natural gas,Natural gas,Gas turbine,,1987,,False,1987-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Lausitz Energie Kraftwerke AG,Nunsdorf,,,Fossil fuels,Natural gas,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,13.30195,52.23015
OPSD_EU_01835,BNA0742,DE,75.0,Natural gas,Natural gas,Combined cycle,,2005,,False,2005-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",N-ERGIE AG,Nürnberg,,,Fossil fuels,Natural gas,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.060556,49.438611
OPSD_EU_01836,BNA0743,DE,75.0,Natural gas,Natural gas,Combined cycle,,2005,,False,2005-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",N-ERGIE AG,Nürnberg,,,Fossil fuels,Natural gas,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.060556,49.438611
OPSD_EU_01837,BNA0744,DE,383.0,Natural gas,Natural gas,Combined cycle,,1973,,False,1973-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Uniper Kraftwerke GmbH,Nürnberg,,11WD2GEBE000177K,Fossil fuels,Natural gas,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.007737,49.420836
