id,name,host,city,country,lat,lon,technology,platform,topology,qubits,supplier,hosting_supercomputer,power_consumption,cooling_system,status,coordinate_precision,source,notes
EUROHPC_JADE,JADE,Jülich Supercomputing Centre (JSC),Jülich,Germany,50.922,6.3625,Analog/digital quantum simulator,Neutral atoms,2D Array,100,Pasqal,JURECA DC,10 kVA,Liquid-cooled,active_or_accessible,city,https://www.eurohpc-ju.europa.eu/eurohpc-quantum-computers/our-quantum-computers_en,One of the HPCQS quantum simulators; neutral atoms/Rydberg atoms.
EUROHPC_RUBY,Ruby,GENCI / CEA,Bruyères-le-Châtel,France,48.5884,2.1896,Analog/digital quantum simulator,Neutral atoms,2D Array,100,Pasqal,Joliot-Curie,10 kVA,Liquid-cooled,active_or_accessible,city,https://www.eurohpc-ju.europa.eu/eurohpc-quantum-computers/our-quantum-computers_en,Second HPCQS quantum simulator located at TGCC/CEA area.
EUROHPC_LUCY,Lucy,CEA,Bruyères-le-Châtel,France,48.5884,2.1896,Digital quantum computer,Photonic,All-to-all connectivity,12,Quandela / attocube,Joliot-Curie,4.8 kW,Air-cooled,active_or_accessible,city,https://www.eurohpc-ju.europa.eu/eurohpc-quantum-computers/our-quantum-computers_en,Photonic LOQC platform; listed by EuroHPC among accessible systems.
EUROHPC_PIAST_Q,Piast-Q,Poznań Supercomputing and Networking Center (PCSS),Poznań,Poland,52.4064,16.9252,Digital quantum computer,Trapped ions,All-to-all connectivity,20,Alpine Quantum Technologies (AQT),ALTAIR,2 kW,Air-cooled,active_or_accessible,city,https://www.eurohpc-ju.europa.eu/eurohpc-quantum-computers/our-quantum-computers_en,Trapped-ion system with long coherence times and all-to-all connectivity.
EUROHPC_VLQ,VLQ,IT4Innovations National Supercomputing Centre,Ostrava,Czechia,49.8209,18.2625,Digital quantum computer,Superconducting,Star with central resonator,24,IQM Quantum Computers,KAROLINA,25.5 kW,Cryogenic dilution refrigeration,active_or_accessible,city,https://www.eurohpc-ju.europa.eu/eurohpc-quantum-computers/our-quantum-computers_en,Superconducting system with star-shaped topology.
EUROHPC_EURO_Q_EXA,Euro-Q-Exa,Leibniz Supercomputing Centre (LRZ),Munich,Germany,48.1351,11.582,Digital quantum computer,Superconducting,Crystal / square-lattice style,54,IQM Quantum Computers,SuperMUC-NG,25.5 kW system 1; 29.9 kW system 2,Cryogenic dilution refrigeration,active_or_accessible,city,https://www.eurohpc-ju.europa.eu/eurohpc-quantum-computers/our-quantum-computers_en,Initial 54 physical qubits; EuroHPC reports planned upgrade to 150 qubits by end of 2026.
EUROHPC_SOL,SOL,CINECA,Bologna,Italy,44.4949,11.3426,Analogue/digital quantum simulator,Neutral atoms,2D Array,140,Pasqal,Leonardo,10 kW,Liquid-cooled,active_or_accessible,city,https://www.eurohpc-ju.europa.eu/eurohpc-quantum-computers/our-quantum-computers_en,EuroQCS-Italy; neutral-atom quantum simulator integrated with Leonardo/CINECA.
EUROHPC_EUROQCS_SPAIN,EuroQCS-Spain,Barcelona Supercomputing Center (BSC),Barcelona,Spain,41.3874,2.1686,Analogue quantum computer,Superconducting annealing,N/A,25,Qilimanjaro Quantum Tech,MareNostrum 5,33.3 kW,Cryogenic dilution refrigeration,planned_or_deploying,city,https://www.eurohpc-ju.europa.eu/eurohpc-quantum-computers/our-quantum-computers_en,"Quantum annealer; EuroHPC lists systems of 10, 15 and 25 data qubits."
